Team ,Year,League,HomeW,HomeL,AwayW,AwayL
Yankees,2019,AL,57,24,46,35
Rays,2019,AL,48,33,48,33
Red Sox,2019,AL,38,43,46,35
Blue Jays,2019,AL,35,46,32,49
Orioles,2019,AL,25,56,29,52
Twins,2019,AL,46,35,55,26
Indians,2019,AL,49,32,44,37
White Sox,2019,AL,39,41,33,48
Royals,2019,AL,31,50,28,53
Tigers,2019,AL,22,59,25,55
Astros,2019,AL,60,21,47,34
Athletics,2019,AL,52,29,45,36
Rangers,2019,AL,45,36,33,48
Angels,2019,AL,38,43,34,47
Mariners,2019,AL,35,46,33,48
Braves,2019,NL,50,31,47,34
Nationals,2019,NL,50,31,43,38
Mets,2019,NL,48,33,38,43
Phillies,2019,NL,45,36,36,45
Marlins,2019,NL,30,51,27,54
Cardinals ,2019,NL,50,31,41,40
Brewers,2019,NL,49,32,40,41
Cubs,2019,NL,51,30,33,48
Reds,2019,NL,41,40,34,47
Pirates,2019,NL,35,46,34,47
Dodgers,2019,NL,59,22,47,34
Diamondbacks,2019,NL,44,37,41,40
Giants,2019,NL,35,46,42,39
Rockies,2019,NL,43,38,28,53
Padres,2019,NL,36,45,34,47
Indians,2018,AL,49,32,42,39
Twins,2018,AL,49,32,29,52
Tigers,2018,AL,38,43,26,55
White Sox,2018,AL,30,51,32,49
Royals,2018,AL,32,49,26,55
Astros,2018,AL,46,35,57,24
Athletics,2018,AL,50,31,47,34
Mariners,2018,AL,45,36,44,37
Angels,2018,AL,42,39,38,43
Rangers,2018,AL,34,47,33,48
Red Sox,2018,AL,57,24,51,30
Yankees,2018,AL,53,28,47,34
Rays,2018,AL,51,30,39,42
Blue Jays,2018,AL,40,41,33,48
Orioles,2018,AL,28,53,19,62
Dodgers,2018,NL,45,37,47,34
Rockies,2018,NL,47,34,44,38
Diamondbacks,2018,NL,40,41,42,39
Giants,2018,NL,42,39,31,50
Padres,2018,NL,31,50,35,46
Braves,2018,NL,43,38,47,34
Nationals,2018,NL,41,40,41,40
Phillies,2018,NL,49,32,31,50
Mets,2018,NL,37,44,40,41
Marlins,2018,NL,38,43,25,55
Brewers,2018,NL,51,30,45,37
Cubs,2018,NL,51,31,44,37
Cardinals ,2018,NL,43,38,45,36
Pirates,2018,NL,44,36,38,43
Reds,2018,NL,37,44,30,51
Red Sox,2017,AL,48,33,45,36
Yankees,2017,AL,51,30,40,41
Rays,2017,AL,42,39,38,43
Blue Jays,2017,AL,42,39,34,47
Orioles,2017,AL,46,35,29,52
Astros,2017,AL,48,33,53,28
Angels,2017,AL,43,38,37,44
Rangers,2017,AL,41,40,37,44
Mariners,2017,AL,40,41,38,43
Athletics,2017,AL,46,35,29,52
Indians,2017,AL,49,32,53,28
Twins,2017,AL,41,40,44,37
Royals,2017,AL,43,38,37,44
White Sox,2017,AL,39,42,28,53
Tigers,2017,AL,34,47,30,51
Nationals,2017,NL,47,34,50,31
Marlins,2017,NL,42,36,35,49
Braves,2017,NL,37,44,35,46
Mets,2017,NL,37,44,33,48
Phillies,2017,NL,39,42,27,54
Cubs,2017,NL,48,33,44,37
Brewers,2017,NL,46,38,40,38
Cardinals ,2017,NL,44,37,39,42
Pirates,2017,NL,44,37,31,50
Reds,2017,NL,39,42,29,52
Dodgers,2017,NL,57,24,47,34
Diamondbacks,2017,NL,52,29,41,40
Rockies,2017,NL,46,35,41,40
Padres,2017,NL,43,38,28,53
Giants,2017,NL,38,43,26,55
